Epoch,score,profit,distance,time,weight,best_fitness
0,3981.9017201687966,37112.0,4126.0,5905.543365388806,32712.0,1.5111487885186126
3,4656.276757878681,38342.0,4065.0,6004.585248149967,32742.0,1.593085180051711
6,1220.926181404524,35350.0,4065.0,6083.613871407393,30850.0,1.5994167796719225
9,-1184.1807456265233,31325.0,4106.0,5794.862878008293,27225.0,1.6310544943890066
12,5998.298289834216,37541.0,4058.0,5622.5849750741145,32041.0,1.6625791616508194
15,5148.0346008260385,35142.0,4058.0,5346.517896465946,29742.0,1.6748511725062236
18,-1384.2718932214302,27393.0,4058.0,5129.638483640183,22893.0,1.6782553828177726
21,-400.22708511637757,29898.0,4129.0,5400.753491108088,25398.0,1.6823256739737178
24,3961.4571332856394,30915.0,4004.0,4804.553095671009,25915.0,1.6916329617635846
27,1259.043142313083,28557.0,4004.0,4865.945963937062,24057.0,1.70241062981882
30,-24.146908155558776,27606.0,4004.0,4925.15987667657,22506.0,1.7047531745238955
33,885.8557054761841,28773.0,4004.0,4970.970462481963,23273.0,1.7072214734004805
36,986.8381120697995,28127.0,3913.0,4837.818518347629,22927.0,1.7104752547983693
39,1429.396132890528,28773.0,3913.0,4874.082685759264,23273.0,1.7122812706908763
42,2037.6560593756112,29958.0,3913.0,4976.888402963349,23958.0,1.7135528336526642
45,2986.639594283828,30980.0,3913.0,4989.903815635681,24880.0,1.7140418525601895
48,2904.475506057508,30580.0,3891.0,4933.248572895274,24480.0,1.7153683397762562
51,2904.475506057508,30580.0,3891.0,4933.248572895274,24480.0,1.7153683397762562
54,3377.3962169303777,31325.0,3891.0,4981.747554914371,25125.0,1.7175827171957734
57,3899.5026401169016,31599.0,3970.0,4937.521811030855,25599.0,1.720452862057235
60,5337.814384689431,33264.0,3970.0,4977.929699698853,26764.0,1.7218381987860178
63,4774.716105120497,32146.0,3899.0,4879.01673705517,25846.0,1.7227178877735094
66,6075.540283520797,33703.0,3938.0,4924.680876377754,26903.0,1.724424557892898
69,5961.772194871846,33703.0,3958.0,4944.960393070972,26903.0,1.7233052460928395
72,5961.772194871846,33703.0,3958.0,4944.960393070972,26903.0,1.7233052460928395
75,5982.784088030123,33703.0,3896.0,4941.214957570388,26903.0,1.7238121747576318
78,5982.784088030123,33703.0,3896.0,4941.214957570388,26903.0,1.7238121747576318
81,6312.143992989662,34159.0,3955.0,4963.788949556209,27259.0,1.723984490289366
84,6575.16061204339,34559.0,3955.0,4988.206664519895,27459.0,1.724176721996149
87,6575.16061204339,34559.0,3955.0,4988.206664519895,27459.0,1.724176721996149
90,6671.920956679049,34559.0,3948.0,4970.958831251506,27459.0,1.7247646091855284
93,6731.963489064787,34559.0,3945.0,4960.256062555296,27459.0,1.7253103821149478
96,6731.963489064787,34559.0,3945.0,4960.256062555296,27459.0,1.7253103821149478
99,6756.9273278712135,34559.0,3945.0,4955.806180415113,27459.0,1.7255239123424666
102,7259.916079719693,35359.0,3945.0,5008.749361903798,27859.0,1.7258285203288608
